TransactionID,Amount,Time,Type,Location,AccountAgeDays,MerchantCategory
1,1000,5/1/2023 8:00,Payment,NY,120,Groceries
2,2500,5/1/2023 9:00,Withdrawal,CA,45,ATM
3,50000,5/1/2023 10:00,Transfer,TX,300,Business
4,1200,5/1/2023 11:00,Payment,NY,120,Utilities
5,80000,5/1/2023 12:00,Transfer,CA,500,Investment
6,1500,5/2/2023 8:30,Payment,TX,200,Groceries
7,200,5/2/2023 9:15,Withdrawal,NY,75,ATM
8,700,5/2/2023 10:45,Payment,CA,60,Groceries
9,60000,5/2/2023 11:30,Transfer,TX,350,Business
10,3000,5/2/2023 12:00,Withdrawal,NY,85,ATM
11,500,5/3/2023 8:00,Payment,CA,130,Groceries
12,4000,5/3/2023 9:00,Withdrawal,TX,95,ATM
13,45000,5/3/2023 10:00,Transfer,NY,400,Business
14,800,5/3/2023 11:00,Payment,CA,70,Utilities
15,100000,5/3/2023 12:00,Transfer,TX,600,Investment
16,1200,5/4/2023 8:00,Payment,NY,110,Groceries
17,3500,5/4/2023 9:00,Withdrawal,CA,80,ATM
18,25000,5/4/2023 10:00,Transfer,TX,320,Business
19,700,5/4/2023 11:00,Payment,NY,90,Groceries
20,90000,5/4/2023 12:00,Transfer,CA,580,Investment
21,1300,5/5/2023 8:00,Payment,TX,140,Utilities
22,2700,5/5/2023 9:00,Withdrawal,NY,60,ATM
23,150000,5/5/2023 10:00,Transfer,CA,620,Business
24,900,5/5/2023 11:00,Payment,TX,100,Groceries
25,40000,5/5/2023 12:00,Transfer,NY,350,Investment
26,1100,5/6/2023 8:00,Payment,CA,115,Utilities
27,3200,5/6/2023 9:00,Withdrawal,TX,75,ATM
28,500,5/6/2023 10:00,Payment,NY,130,Groceries
29,20000,5/6/2023 11:00,Transfer,CA,310,Business
30,85000,5/6/2023 12:00,Transfer,TX,590,Investment
31,1400,5/7/2023 8:00,Payment,NY,100,Groceries
32,2600,5/7/2023 9:00,Withdrawal,CA,85,ATM
33,48000,5/7/2023 10:00,Transfer,TX,400,Business
34,1000,5/7/2023 11:00,Payment,NY,90,Groceries
35,95000,5/7/2023 12:00,Transfer,CA,600,Investment
36,1250,5/8/2023 8:00,Payment,TX,110,Utilities
37,3800,5/8/2023 9:00,Withdrawal,NY,70,ATM
38,600,5/8/2023 10:00,Payment,CA,130,Groceries
39,22000,5/8/2023 11:00,Transfer,TX,330,Business
40,88000,5/8/2023 12:00,Transfer,NY,580,Investment
41,1350,5/9/2023 8:00,Payment,CA,120,Groceries
42,2900,5/9/2023 9:00,Withdrawal,TX,80,ATM
43,55000,5/9/2023 10:00,Transfer,NY,410,Business
44,950,5/9/2023 11:00,Payment,CA,75,Utilities
45,110000,5/9/2023 12:00,Transfer,TX,620,Investment
46,1150,5/10/2023 8:00,Payment,NY,100,Groceries
47,3600,5/10/2023 9:00,Withdrawal,CA,90,ATM
48,700,5/10/2023 10:00,Payment,TX,110,Groceries
49,18000,5/10/2023 11:00,Transfer,NY,340,Business
50,92000,5/10/2023 12:00,Transfer,CA,600,Investment
51,1250,5/11/2023 8:00,Payment,TX,130,Utilities
52,2700,5/11/2023 9:00,Withdrawal,NY,80,ATM
53,48000,5/11/2023 10:00,Transfer,CA,420,Business
54,1100,5/11/2023 11:00,Payment,TX,90,Groceries
55,98000,5/11/2023 12:00,Transfer,NY,590,Investment
56,1200,5/12/2023 8:00,Payment,CA,115,Utilities
57,3300,5/12/2023 9:00,Withdrawal,TX,100,ATM
58,650,5/12/2023 10:00,Payment,NY,130,Groceries
59,24000,5/12/2023 11:00,Transfer,CA,360,Business
60,86000,5/12/2023 12:00,Transfer,TX,600,Investment
